Date-Time,Total Power
02/01/2017 00:00:06,15402
2/1/2017 0:00,15493
2/1/2017 0:01,15449
2/1/2017 0:01,15614
2/1/2017 0:02,15608
2/1/2017 0:02,15875
2/1/2017 0:03,16901
2/1/2017 0:03,17744
2/1/2017 0:04,15267
2/1/2017 0:04,15285
2/1/2017 0:05,15266
2/1/2017 0:05,15279
2/1/2017 0:06,15365
2/1/2017 0:06,15361
2/1/2017 0:07,15567
2/1/2017 0:07,15691
2/1/2017 0:08,15641
2/1/2017 0:08,15660
2/1/2017 0:09,15655
2/1/2017 0:09,15616
2/1/2017 0:10,15285
2/1/2017 0:10,15371
2/1/2017 0:11,15300
2/1/2017 0:11,15273
2/1/2017 0:12,15274
2/1/2017 0:12,16668
2/1/2017 0:13,16657
2/1/2017 0:13,16653
2/1/2017 0:14,16538
2/1/2017 0:14,16581
2/1/2017 0:15,16584
2/1/2017 0:15,16521
2/1/2017 0:16,16599
2/1/2017 0:16,16569
2/1/2017 0:17,16530
2/1/2017 0:17,16566
2/1/2017 0:18,16647
2/1/2017 0:18,16587
2/1/2017 0:19,16527
2/1/2017 0:19,16543
2/1/2017 0:20,16544
2/1/2017 0:20,16504
2/1/2017 0:21,16514
2/1/2017 0:21,16427
2/1/2017 0:22,16368
2/1/2017 0:22,16408
2/1/2017 0:23,16301
2/1/2017 0:23,16469
2/1/2017 0:24,16490
2/1/2017 0:24,16468
2/1/2017 0:25,16447
2/1/2017 0:25,16563
2/1/2017 0:26,18637
2/1/2017 0:26,16530
2/1/2017 0:27,16591
2/1/2017 0:27,16646
2/1/2017 0:28,16612
2/1/2017 0:28,16705
2/1/2017 0:29,16717
2/1/2017 0:29,16677
2/1/2017 0:30,16477
2/1/2017 0:30,16379
2/1/2017 0:31,16403
2/1/2017 0:31,16346
2/1/2017 0:32,16304
2/1/2017 0:32,16289
2/1/2017 0:33,15091
2/1/2017 0:33,15176
2/1/2017 0:34,15296
2/1/2017 0:34,15405
2/1/2017 0:35,15148
2/1/2017 0:35,15242
2/1/2017 0:36,15212
2/1/2017 0:36,15242
2/1/2017 0:37,15196
2/1/2017 0:37,15168
2/1/2017 0:38,15126
2/1/2017 0:38,15168
2/1/2017 0:39,15151
2/1/2017 0:39,15195
2/1/2017 0:40,15128
2/1/2017 0:40,15189
2/1/2017 0:41,15150
2/1/2017 0:41,15164
2/1/2017 0:42,15112
2/1/2017 0:42,15222
2/1/2017 0:43,15093
2/1/2017 0:43,15284
2/1/2017 0:44,15339
2/1/2017 0:44,15328
2/1/2017 0:45,15424
2/1/2017 0:45,15417
2/1/2017 0:46,15476
2/1/2017 0:46,15446
2/1/2017 0:47,15313
2/1/2017 0:47,15246
2/1/2017 0:48,15235
2/1/2017 0:48,15375
2/1/2017 0:49,15452
2/1/2017 0:49,15402
2/1/2017 0:50,15280
2/1/2017 0:50,15255
2/1/2017 0:51,15235
2/1/2017 0:51,15264
2/1/2017 0:52,15242
2/1/2017 0:52,15343
2/1/2017 0:53,15162
2/1/2017 0:53,15181
2/1/2017 0:54,15226
2/1/2017 0:54,15347
2/1/2017 0:55,15319
2/1/2017 0:55,15412
